menu_item_id,menu_item_name,ingredient,ingredient_category,quantity_per_item,unit,prep_group,shelf_life_days,complexity_weight
1,Vegetable Spring Rolls (3pc),spring roll wrappers,Starches,3,pc,Fry Station,90,2
1,Vegetable Spring Rolls (3pc),cabbage,Produce,60,g,Fry Station,7,1
1,Vegetable Spring Rolls (3pc),carrots,Produce,40,g,Fry Station,14,1
1,Vegetable Spring Rolls (3pc),glass noodles,Starches,20,g,Fry Station,365,1
1,Vegetable Spring Rolls (3pc),cooking oil,Oils,150,ml,Fry Station,180,1
1,Vegetable Spring Rolls (3pc),plum dipping sauce,Sauces,30,ml,Sauce Prep,60,2
2,Vegetable Spring Rolls (6pc),spring roll wrappers,Starches,6,pc,Fry Station,90,2
2,Vegetable Spring Rolls (6pc),cabbage,Produce,120,g,Fry Station,7,1
2,Vegetable Spring Rolls (6pc),carrots,Produce,80,g,Fry Station,14,1
2,Vegetable Spring Rolls (6pc),glass noodles,Starches,40,g,Fry Station,365,1
2,Vegetable Spring Rolls (6pc),cooking oil,Oils,250,ml,Fry Station,180,1
2,Vegetable Spring Rolls (6pc),plum dipping sauce,Sauces,60,ml,Sauce Prep,60,2
3,Satay with Peanut Sauce (1pc),vegan chicken,Proteins,50,g,Wok Station,5,2
3,Satay with Peanut Sauce (1pc),peanut sauce,Sauces,30,ml,Sauce Prep,7,3
3,Satay with Peanut Sauce (1pc),bamboo skewers,Supplies,1,pc,Wok Station,365,1
3,Satay with Peanut Sauce (1pc),satay marinade,Sauces,15,ml,Sauce Prep,14,2
4,Satay with Peanut Sauce (3pc),vegan chicken,Proteins,150,g,Wok Station,5,2
4,Satay with Peanut Sauce (3pc),peanut sauce,Sauces,60,ml,Sauce Prep,7,3
4,Satay with Peanut Sauce (3pc),bamboo skewers,Supplies,3,pc,Wok Station,365,1
4,Satay with Peanut Sauce (3pc),satay marinade,Sauces,40,ml,Sauce Prep,14,2
5,Deep Fried Tofu,firm tofu,Proteins,200,g,Fry Station,7,1
5,Deep Fried Tofu,cooking oil,Oils,200,ml,Fry Station,180,1
5,Deep Fried Tofu,kecap manis,Sauces,40,ml,Sauce Prep,180,1
6,Gado Gado,firm tofu,Proteins,80,g,Cold Assembly,7,2
6,Gado Gado,tempeh,Proteins,60,g,Cold Assembly,5,2
6,Gado Gado,cabbage,Produce,60,g,Cold Assembly,7,1
6,Gado Gado,bean sprouts,Produce,40,g,Cold Assembly,3,1
